threshold,alpha,k,cost_bp,mean_gross_pnl_bp,mean_net_pnl_bp,gross_sharpe,net_sharpe,mean_turnover,avg_abs_position,n_ticker_days
0.0002,0.3,50,0,0.1910848305122155,0.1910848305122155,0.2252414066179659,0.2252414066179659,0.017300763881646367,0.01883200251355215,12188
0.0001,0.2,50,0,0.16130927826793223,0.16130927826793223,0.2250637027152776,0.2250637027152776,0.011414233428743053,0.017937538376438595,12188
0.001,0.5,500,0,0.8059452869869165,0.8059452869869165,0.22435930170761031,0.22435930170761031,0.14486643809216124,0.09139191885749502,12188
0.0002,0.2,100,0,0.26989413880409685,0.26989413880409685,0.22328677766394264,0.22328677766394264,0.022061749905550345,0.03479954984629496,12188
0.0005,0.2,200,0,0.41069176128371365,0.41069176128371365,0.22323680587009315,0.22323680587009315,0.03819344904152357,0.05987469940309569,12188
0.001,1.0,50,0,0.3162691972986177,0.3162691972986177,0.2225244209922573,0.2225244209922573,0.04663502874330342,0.015254639178453681,12188
0.0015,1.0,100,0,0.4998069890461829,0.4998069890461829,0.22220955570364265,0.22220955570364265,0.06698405839286885,0.021624712321792777,12188
0.0005,0.5,50,0,0.23712792241119418,0.23712792241119418,0.22213877676786445,0.22213877676786445,0.027359508820574942,0.018478905621763877,12188
0.0002,0.2,50,0,0.15859796911763663,0.15859796911763663,0.2213314008261715,0.2213314008261715,0.011307507570931208,0.017867800227353587,12188
0.0015,1.0,50,0,0.30854257439529875,0.30854257439529875,0.2185208706760863,0.2185208706760863,0.03515039690934689,0.011362988554030794,12188
0.0005,0.3,100,0,0.30760597856624644,0.30760597856624644,0.21714212786442247,0.21714212786442247,0.030877548252914208,0.03347785818721765,12188
0.001,0.75,100,0,0.4335647873888931,0.4335647873888931,0.2157291307853608,0.2157291307853608,0.0641174382292279,0.02812415626988233,12188
0.0015,0.75,200,0,0.6192565167558792,0.6192565167558792,0.21551458492964787,0.21551458492964787,0.08626401029604047,0.03730378041642907,12188
0.0005,0.3,50,0,0.1830902627023382,0.1830902627023382,0.21531332354134633,0.21531332354134633,0.015867018401272436,0.017227292362584374,12188
0.0005,0.1,500,0,0.4646890073274426,0.4646890073274426,0.21280763009828316,0.21280763009828316,0.03894797109753833,0.11338552365350865,12188
0.001,0.75,50,0,0.26747411039184227,0.26747411039184227,0.212338381332756,0.212338381332756,0.03325053225688497,0.014593623574527207,12188
0.0005,0.2,100,0,0.2562215601063307,0.2562215601063307,0.21130728858866635,0.21130728858866635,0.020348404588485403,0.0321694913782922,12188
0.0005,0.2,50,0,0.15175913822279163,0.15175913822279163,0.2111858304890641,0.2111858304890641,0.01045352813252556,0.0165546960609774,12188
0.001,0.5,200,0,0.5194361425353032,0.5194361425353032,0.20576178109811394,0.20576178109811394,0.07598915649178008,0.048933929280022104,12188
0.0015,0.75,100,0,0.4063243700126087,0.4063243700126087,0.20395166415714192,0.20395166415714192,0.04824668721759407,0.02099608805645222,12188
0.0015,0.75,50,0,0.2538230853933542,0.2538230853933542,0.20254344793290968,0.20254344793290968,0.025291567096557138,0.011019257613879183,12188
0.0,0.1,200,0,0.2939505325999542,0.2939505325999542,0.20128373186882348,0.20128373186882348,0.02069912675316583,0.06142565961270703,12188
0.0015,0.5,500,0,0.6878369664378656,0.6878369664378656,0.20125961114227983,0.20125961114227983,0.09911397617145919,0.06164952684694844,12188
